order_purchase_timestamp_encoded_days (recency),frequecy,payment_value
2345,1,146.87
2103,1,335.48
1977,1,157.73
2044,1,173.3
1906,1,252.25
2223,2,282.21
2066,1,22.77
2160,1,36.01
2098,2,39.1
2108,1,122.47
2149,1,40.4
2078,1,153.13
2229,1,117.31
2050,2,36.39
2024,1,102.47
2086,1,169.23
1890,1,136.93
1947,1,16.53
2350,1,102.03
2175,1,54.62
2256,1,123.0
2193,1,232.71
1988,1,163.13
2377,1,94.63
1980,1,80.11
2076,1,56.78
1921,1,62.39
2345,1,47.59
2153,1,69.12
1971,1,58.69
2226,1,73.34
2150,1,62.44
2008,2,67.05
2315,2,134.25
2045,1,45.730000000000004
1987,1,62.06
2195,1,103.55
2259,1,60.0
1927,1,315.75
2074,1,49.09
1929,1,85.81
2129,1,96.8
2085,2,78.7
2198,1,30.4
1982,1,218.49
2008,1,50.92
2042,1,73.16
2009,1,143.25
2151,1,171.32
2455,1,239.64
2011,1,465.4
1974,1,226.72
2086,1,186.27
1985,1,72.26
2321,1,809.7
2082,1,36.69
2087,1,157.12
2289,1,232.22
1959,1,151.6
2027,1,77.3
2029,1,304.55
2065,1,18.77
1987,1,128.48
2388,1,146.21
2158,1,187.53
2207,1,27.68
2141,1,150.15
2227,1,46.78
2230,1,252.42
1904,1,175.33
2095,1,74.38
2036,1,55.36
2119,1,372.52
2211,1,251.28
2119,1,29.0
2399,1,61.1
1882,1,361.2
1879,1,39.15
2045,1,62.31
2104,1,137.6
2033,1,133.28
2338,1,80.57
2406,1,27.71
1957,1,350.19
1993,1,52.26
2180,1,28.41
2030,1,59.78
1947,1,40.27
1979,2,247.69
2035,1,328.17
1895,1,213.47
1965,1,137.23
2202,1,253.05
2010,1,61.38
1940,1,148.2
1996,1,158.94
2024,1,267.76
2242,1,22.33
2142,1,61.01
1882,1,76.15
2257,1,58.59
2120,1,216.62
2132,1,75.67
2394,1,163.46
2261,1,109.29
2029,1,346.21
1994,1,69.97
1934,1,50.76
2217,1,51.63
2283,1,256.33
2331,1,144.26
2444,1,251.28
2224,1,36.78
2126,2,47.27
2058,1,67.22
1962,1,142.78
2009,2,95.4
2257,1,164.26
2340,1,24.09
2442,1,200.36
1966,1,21.38
2268,1,196.66
1987,1,54.22
1953,1,48.27
1966,1,72.34
1964,1,103.14
2009,1,165.83
1968,1,122.02
2345,1,47.74
2437,1,185.61
2355,1,261.76
2306,1,62.07
2233,2,97.71
2237,1,139.62
2247,4,214.32
2138,2,43.09
2241,1,33.59
2149,1,175.88
2076,1,122.5
2211,1,99.43
2015,1,100.26
2013,1,248.4
2268,1,57.68
1894,1,94.77
2437,1,679.43
2338,1,34.0
2114,1,35.4
1880,1,35.65
2065,1,273.58
1988,1,60.39
2237,1,17.85
1904,1,40.27
1901,1,123.26
2292,1,103.55
2152,1,756.49
2041,1,201.37
1934,1,68.15
1981,1,124.76
2103,1,102.64
2411,1,130.22
2086,1,55.53
2168,1,45.93
2441,1,175.85
1889,1,112.98
1999,1,38.37
2030,1,409.5
1986,1,858.31
1979,1,26.29
2221,1,56.62
2284,1,198.03
